math_score,science_score,english_score,study_hours,final_score,study_group,performance_level
55.0,39.0,43.0,3.2,47.2,Low,Average
51.0,63.0,59.0,7.2,59.0,Medium,Average
50.0,80.0,53.0,9.7,73.4,High,Good
71.0,24.0,33.0,1.9,44.0,Low,Average
31.0,79.0,76.0,11.8,81.1,High,Excellent
76.0,32.0,23.0,6.7,60.0,Medium,Average
74.0,84.0,38.0,6.7,74.2,Medium,Good
30.0,26.0,32.0,8.1,43.5,High,Average
63.0,48.0,40.0,6.4,59.5,Medium,Average
22.0,61.0,28.0,6.6,51.9,Medium,Average
71.0,95.0,42.0,3.7,80.9,Low,Excellent
62.0,88.0,25.0,9.9,68.6,High,Good
59.0,66.0,99.0,5.1,78.4,Medium,Good
50.0,88.0,88.0,6.6,84.9,Medium,Excellent
56.0,84.0,45.0,3.9,67.6,Low,Good
87.0,59.0,61.0,7.5,67.9,Medium,Good
86.0,61.0,21.0,6.0,66.6,Medium,Good
28.0,85.0,86.0,6.6,80.2,Medium,Excellent
92.0,40.0,96.0,7.1,84.3,Medium,Excellent
43.0,46.0,37.0,2.9,47.0,Low,Average
36.0,26.0,87.0,3.6,53.4,Low,Average
26.0,78.0,33.0,8.2,56.3,High,Average
82.0,85.0,64.0,4.9,86.1,Medium,Excellent
75.0,58.0,73.0,10.1,81.0,High,Excellent
59.0,60.0,51.0,7.4,63.2,Medium,Good
68.0,35.0,82.0,8.1,71.6,High,Good
60.0,90.0,64.0,10.0,75.5,High,Good
80.0,46.0,26.0,2.0,49.6,Low,Average
65.0,68.0,39.0,11.5,71.9,High,Good
57.0,30.0,76.0,8.0,58.4,Medium,Average
82.0,38.0,76.0,1.8,61.3,Low,Good
59.0,69.0,91.0,11.9,86.6,High,Excellent
38.0,52.0,33.0,7.5,53.3,Medium,Average
76.0,89.0,59.0,3.7,77.9,Low,Good
26.0,80.0,52.0,10.1,66.1,High,Good
27.0,62.0,100.0,8.3,70.3,High,Good
31.0,85.0,62.0,3.3,68.1,Low,Good
90.0,30.0,57.0,2.0,69.7,Low,Good
96.0,39.0,34.0,6.6,75.3,Medium,Good
99.0,75.0,55.0,8.3,87.3,High,Excellent
41.0,73.0,88.0,11.5,82.7,High,Excellent
70.0,85.0,74.0,1.1,84.8,Low,Excellent
68.0,62.0,70.0,1.1,68.7,Low,Good
35.0,20.0,35.0,2.1,41.0,Low,Average
58.0,90.0,63.0,3.0,72.8,Low,Good
67.0,59.0,90.0,1.0,72.1,Low,Good
75.0,24.0,24.0,8.6,43.6,High,Average
95.0,89.0,46.0,5.7,84.8,Medium,Excellent
45.0,98.0,66.0,11.1,80.9,High,Excellent
30.0,20.0,85.0,6.2,55.8,Medium,Average
57.0,21.0,29.0,3.0,41.5,Low,Average
69.0,58.0,41.0,6.8,58.6,Medium,Average
45.0,26.0,50.0,10.0,51.1,High,Average
58.0,25.0,72.0,5.8,62.2,Medium,Good
54.0,34.0,21.0,2.7,41.5,Low,Average
64.0,49.0,50.0,11.3,76.7,High,Good
35.0,45.0,92.0,6.3,65.6,Medium,Good
45.0,43.0,59.0,10.9,60.7,High,Good
58.0,90.0,88.0,8.1,90.6,High,Excellent
25.0,68.0,79.0,7.0,69.6,Medium,Good
80.0,83.0,65.0,11.5,92.0,High,Excellent
48.0,82.0,23.0,11.0,63.6,High,Good
78.0,66.0,56.0,4.1,71.9,Medium,Good
85.0,43.0,43.0,4.2,63.1,Medium,Good
96.0,78.0,54.0,11.4,89.7,High,Excellent
100.0,48.0,49.0,8.4,78.3,High,Good
44.0,39.0,78.0,11.8,63.1,High,Good
29.0,54.0,91.0,10.2,67.9,High,Good
75.0,67.0,99.0,7.5,92.9,Medium,Excellent
24.0,25.0,23.0,5.5,40.6,Medium,Average
54.0,43.0,48.0,8.2,61.0,High,Good
89.0,72.0,74.0,10.7,93.4,High,Excellent
51.0,37.0,95.0,3.2,67.0,Low,Good
91.0,75.0,61.0,4.8,75.7,Medium,Good
20.0,29.0,80.0,1.2,47.5,Low,Average
62.0,71.0,57.0,10.8,73.5,High,Good
21.0,99.0,94.0,2.4,73.3,Low,Good
97.0,73.0,63.0,2.6,86.1,Low,Excellent
35.0,72.0,98.0,5.3,73.8,Medium,Good
87.0,84.0,100.0,4.4,68.35,Medium,Good
98.0,59.0,58.0,3.0,90.4,Low,Excellent
47.0,28.0,96.0,7.2,62.2,Medium,Good
58.0,88.0,20.0,2.5,58.1,Low,Average
98.0,88.0,60.0,1.3,77.6,Low,Good
91.0,41.0,61.0,1.8,61.4,Low,Good
23.0,55.0,63.0,10.2,55.4,High,Average
85.0,61.0,61.0,3.6,76.2,Low,Good
57.0,84.0,58.0,6.8,68.2,Medium,Good
24.0,22.0,20.0,3.0,22.2,Low,Poor
88.0,36.0,87.0,9.7,83.9,High,Excellent
81.0,69.0,40.0,2.7,61.1,Low,Good
37.0,91.0,33.0,3.4,54.9,Low,Average
28.0,50.0,74.0,11.3,63.4,High,Good
60.0,89.0,80.0,4.0,86.2,Low,Excellent
60.0,100.0,33.0,10.2,78.7,High,Good
68.0,93.0,32.0,5.7,73.5,Medium,Good
53.0,94.0,34.0,11.9,73.4,High,Good
38.0,29.0,88.0,5.5,54.2,Medium,Average
53.0,66.0,24.0,4.7,48.2,Medium,Average
95.0,57.0,38.0,4.4,68.2,Medium,Good
58.0,69.0,53.0,8.5,68.7,High,Good
76.0,78.0,52.0,5.7,79.4,Medium,Good
76.0,36.0,64.0,8.2,67.5,High,Good
26.0,63.0,23.0,10.6,48.0,High,Average
60.0,37.0,56.0,7.0,56.4,Medium,Average
100.0,20.0,83.0,2.6,75.9,Low,Good
55.0,20.0,33.0,5.5,43.5,Medium,Average
67.0,75.0,42.0,6.4,68.9,Medium,Good
87.0,91.0,79.0,10.4,91.0,High,Excellent
55.0,50.0,65.0,7.3,66.3,Medium,Good
50.0,69.0,98.0,1.6,74.9,Low,Good
76.0,39.0,71.0,10.1,81.4,High,Excellent
55.0,24.0,72.0,2.3,56.7,Low,Average
71.0,34.0,48.0,8.2,59.2,High,Average
32.0,74.0,65.0,1.4,68.2,Low,Good
29.0,86.0,53.0,3.3,62.0,Low,Good
43.0,89.0,45.0,6.6,67.0,Medium,Good
78.0,74.0,63.0,10.9,88.3,High,Excellent
78.0,100.0,90.0,11.4,96.9,High,Excellent
24.0,50.0,54.0,10.0,48.9,High,Average
60.0,99.0,60.0,6.2,63.8,Medium,Good
79.0,53.0,63.0,5.6,69.2,Medium,Good
99.0,53.0,44.0,9.6,72.4,High,Good
60.0,32.0,36.0,10.5,52.8,High,Average
85.0,33.0,32.0,6.4,57.7,Medium,Average
62.0,41.0,46.0,7.9,56.5,Medium,Average
39.0,65.0,31.0,3.8,51.9,Low,Average
78.0,22.0,21.0,1.5,39.4,Low,Poor
97.0,67.0,26.0,2.2,71.8,Low,Good
93.0,49.0,44.0,2.1,56.6,Low,Average
73.0,80.0,63.0,7.2,77.3,Medium,Good
94.0,50.0,35.0,2.5,70.4,Low,Good
57.0,66.0,100.0,2.1,75.4,Low,Good
64.0,74.0,62.0,7.8,75.1,Medium,Good
46.0,63.0,61.0,3.5,72.0,Low,Good
65.0,68.0,71.0,5.3,66.8,Medium,Good
59.0,31.0,68.0,10.0,58.7,High,Average
50.0,44.0,51.0,7.6,57.1,Medium,Average
20.0,81.0,29.0,6.0,50.0,Medium,Average
78.0,66.0,83.0,2.2,79.8,Low,Good
57.0,64.0,28.0,7.5,59.5,Medium,Average
33.0,40.0,88.0,7.2,62.1,Medium,Good
34.0,54.0,53.0,3.4,51.7,Low,Average
30.0,67.0,70.0,6.1,58.5,Medium,Average
78.0,86.0,34.0,11.0,82.3,High,Excellent
95.0,75.0,63.0,6.6,81.0,Medium,Excellent
87.0,70.0,80.0,7.3,90.4,Medium,Excellent
84.0,38.0,66.0,2.5,72.9,Low,Good
92.0,43.0,20.0,6.7,55.5,Medium,Average
74.0,53.0,51.0,7.7,74.0,Medium,Good
27.0,82.0,75.0,7.3,71.0,Medium,Good
85.0,87.0,68.0,9.6,90.0,High,Excellent
72.0,50.0,40.0,7.3,66.6,Medium,Good
88.0,98.0,45.0,6.6,88.6,Medium,Excellent
92.0,89.0,87.0,5.3,94.5,Medium,Excellent
22.0,57.0,60.0,7.0,53.1,Medium,Average
31.0,49.0,95.0,9.6,61.4,High,Good
80.0,34.0,92.0,10.1,77.9,High,Good
77.0,41.0,100.0,2.5,72.0,Low,Good
48.0,89.0,57.0,8.8,74.2,High,Good
77.0,81.0,89.0,4.6,84.2,Medium,Excellent
94.0,91.0,83.0,3.4,89.1,Low,Excellent
67.0,63.0,67.0,6.8,70.6,Medium,Good
76.0,57.0,22.0,4.7,52.1,Medium,Average
42.0,82.0,87.0,11.6,88.8,High,Excellent
48.0,100.0,50.0,6.0,70.7,Medium,Good
54.0,31.0,94.0,10.2,72.6,High,Good
79.0,38.0,65.0,10.8,77.4,High,Good
80.0,84.0,33.0,4.0,75.4,Low,Good
31.0,34.0,28.0,8.6,44.1,High,Average
28.0,21.0,77.0,5.3,44.1,Medium,Average
41.0,78.0,45.0,1.8,56.6,Low,Average
65.0,74.0,47.0,2.5,69.0,Low,Good
42.0,26.0,49.0,4.7,49.9,Medium,Average
32.0,40.0,61.0,4.5,53.8,Medium,Average
53.0,75.0,55.0,10.0,68.2,High,Good
54.0,26.0,52.0,8.4,56.7,High,Average
71.0,48.0,22.0,10.5,64.1,High,Good
77.0,58.0,56.0,9.6,84.3,High,Excellent
23.0,37.0,28.0,6.7,39.9,Medium,Poor
84.0,95.0,98.0,6.0,68.35,Medium,Good
69.0,90.0,22.0,8.0,65.2,Medium,Good
60.0,23.0,66.0,3.3,49.1,Low,Average
75.0,33.0,24.0,9.6,54.1,High,Average
26.0,59.0,22.0,3.8,40.3,Low,Average
34.0,41.0,32.0,1.3,39.5,Low,Poor
86.0,45.0,61.0,8.8,72.8,High,Good
29.0,33.0,61.0,5.8,36.7,Medium,Poor
23.0,42.0,98.0,2.1,59.5,Low,Average
20.0,29.0,75.0,10.2,52.3,High,Average
60.0,64.0,31.0,4.7,51.6,Medium,Average
85.0,78.0,64.0,10.6,89.7,High,Excellent
20.0,39.0,89.0,10.3,65.2,High,Good
39.0,71.0,89.0,10.2,79.0,High,Good
24.0,73.0,27.0,8.8,54.8,High,Average
61.0,64.0,38.0,3.5,56.2,Low,Average
56.0,51.0,44.0,9.4,64.7,High,Good
44.0,58.0,84.0,7.6,78.2,Medium,Good
52.0,36.0,99.0,10.6,72.1,High,Good
29.0,85.0,38.0,7.8,59.9,Medium,Average
46.0,63.0,26.0,2.7,51.3,Low,Average
99.0,51.0,32.0,6.0,67.3,Medium,Good
92.0,93.0,35.0,8.8,86.0,High,Excellent
33.0,97.0,23.0,10.4,69.8,High,Good
73.0,75.0,30.0,2.7,56.6,Low,Average
88.0,91.0,70.0,7.9,96.6,Medium,Excellent
40.0,71.0,79.0,7.7,80.3,Medium,Excellent
63.0,24.0,75.0,10.9,60.4,High,Good
60.0,88.0,72.0,8.1,83.4,High,Excellent
71.0,30.0,53.0,7.7,61.0,Medium,Good
83.0,81.0,51.0,1.3,81.8,Low,Excellent
40.0,26.0,69.0,11.1,63.3,High,Good
73.0,64.0,74.0,8.9,78.2,High,Good
72.0,59.0,29.0,2.3,62.8,Low,Good
46.0,21.0,31.0,2.7,37.5,Low,Poor
35.0,85.0,26.0,8.0,57.5,Medium,Average
24.0,98.0,52.0,11.9,62.4,High,Good
28.0,54.0,39.0,1.1,42.1,Low,Average
28.0,40.0,84.0,3.7,58.7,Low,Average
78.0,42.0,28.0,3.1,42.5,Low,Average
67.0,22.0,48.0,4.5,50.9,Medium,Average
100.0,87.0,91.0,2.1,98.7,Low,Excellent
43.0,26.0,100.0,9.5,71.8,High,Good
33.0,67.0,46.0,9.0,62.1,High,Good
98.0,81.0,67.0,12.0,99.1,High,Excellent
37.0,42.0,68.0,3.0,52.8,Low,Average
53.0,55.0,26.0,10.8,55.3,High,Average
90.0,89.0,85.0,11.5,68.35,High,Good
44.0,36.0,25.0,11.5,46.0,High,Average
66.0,55.0,71.0,3.0,69.0,Low,Good
34.0,40.0,90.0,4.6,51.6,Medium,Average
59.0,47.0,84.0,11.6,82.6,High,Excellent
77.0,54.0,79.0,8.2,83.8,High,Excellent
48.0,92.0,31.0,11.1,73.2,High,Good
88.0,20.0,25.0,11.9,59.4,High,Average
88.0,34.0,45.0,10.4,66.9,High,Good
34.0,55.0,42.0,11.7,60.3,High,Good
98.0,67.0,55.0,4.2,77.6,Medium,Good
28.0,85.0,78.0,6.6,63.8,Medium,Good
89.0,37.0,29.0,2.3,50.0,Low,Average
90.0,72.0,61.0,4.6,82.0,Medium,Excellent
38.0,46.0,94.0,2.5,63.1,Low,Good
43.0,93.0,42.0,1.4,67.4,Low,Good
50.0,67.0,37.0,4.7,54.3,Medium,Average
38.0,22.0,43.0,1.4,39.5,Low,Poor
45.0,38.0,84.0,8.9,59.2,High,Average
57.0,79.0,52.0,11.1,65.7,High,Good
92.0,87.0,37.0,5.5,80.1,Medium,Excellent
43.0,62.0,91.0,6.2,73.4,Medium,Good
78.0,29.0,27.0,5.2,52.1,Medium,Average
25.0,21.0,71.0,5.7,45.3,Medium,Average
50.0,40.0,71.0,11.1,74.6,High,Good
54.0,85.0,37.0,4.6,62.9,Medium,Good
60.0,53.0,95.0,5.7,71.2,Medium,Good
34.0,74.0,53.0,10.6,67.8,High,Good
85.0,76.0,86.0,10.7,97.4,High,Excellent
30.0,26.0,36.0,11.7,46.2,High,Average
23.0,24.0,22.0,7.2,25.2,Medium,Poor
47.0,60.0,81.0,5.8,72.1,Medium,Good
26.0,57.0,83.0,3.0,63.5,Low,Good
75.0,65.0,66.0,11.0,80.1,High,Excellent
92.0,53.0,74.0,10.4,83.3,High,Excellent
84.0,68.0,80.0,4.5,82.3,Medium,Excellent
36.0,34.0,38.0,3.1,34.1,Low,Poor
53.0,28.0,86.0,8.6,60.6,High,Good
90.0,87.0,44.0,6.2,86.3,Medium,Excellent
24.0,40.0,33.0,4.4,31.5,Medium,Poor
70.0,27.0,62.0,8.3,56.4,High,Average
36.0,45.0,68.0,2.1,50.3,Low,Average
80.0,52.0,72.0,5.4,82.3,Medium,Excellent
100.0,32.0,67.0,7.6,73.4,Medium,Good
41.0,89.0,54.0,11.2,70.2,High,Good
98.0,53.0,55.0,2.8,69.6,Low,Good
44.0,85.0,61.0,6.6,66.1,Medium,Good
25.0,37.0,58.0,3.8,42.4,Low,Average
38.0,98.0,71.0,6.8,77.0,Medium,Good
76.0,33.0,85.0,1.0,70.1,Low,Good
25.0,91.0,87.0,4.0,78.8,Low,Good
23.0,89.0,65.0,5.7,62.1,Medium,Good
92.0,41.0,99.0,10.4,93.2,High,Excellent
43.0,70.0,42.0,8.5,64.7,High,Good
52.0,70.0,33.0,8.9,60.7,High,Good
72.0,59.0,57.0,5.8,77.6,Medium,Good
63.0,50.0,65.0,1.0,56.9,Low,Average
27.0,62.0,92.0,9.0,70.7,High,Good
74.0,55.0,52.0,5.0,77.0,Medium,Good
60.0,70.0,55.0,9.1,73.9,High,Good
100.0,69.0,84.0,8.3,93.8,High,Excellent
35.0,20.0,84.0,4.7,46.2,Medium,Average
90.0,84.0,33.0,8.5,77.2,High,Good
61.0,62.0,95.0,8.0,81.8,Medium,Excellent
98.0,76.0,76.0,6.6,94.3,Medium,Excellent
68.0,81.0,81.0,10.7,93.4,High,Excellent
20.0,67.0,97.0,2.5,60.1,Low,Good
60.0,60.0,76.0,4.6,79.0,Medium,Good
60.0,78.0,46.0,5.9,53.6,Medium,Average
82.0,59.0,34.0,8.3,67.7,High,Good
85.0,33.0,79.0,2.7,76.4,Low,Good
77.0,64.0,52.0,9.7,77.2,High,Good
61.0,36.0,73.0,2.8,55.6,Low,Average
39.0,97.0,83.0,7.6,80.9,Medium,Excellent
50.0,58.0,67.0,2.1,62.3,Low,Good
47.0,66.0,76.0,8.8,77.1,High,Good
20.0,22.0,79.0,11.7,50.6,High,Average
95.0,86.0,43.0,10.0,90.2,High,Excellent
40.0,41.0,99.0,10.5,75.9,High,Good
48.0,40.0,67.0,5.3,59.5,Medium,Average
24.0,47.0,45.0,7.4,45.7,Medium,Average
37.0,21.0,39.0,8.0,47.1,Medium,Average
60.0,47.0,69.0,5.2,55.8,Medium,Average
29.0,65.0,38.0,11.7,58.8,High,Average
40.0,52.0,53.0,10.0,57.8,High,Average
100.0,41.0,55.0,3.7,69.3,Low,Good
40.0,55.0,88.0,11.1,74.3,High,Good
23.0,66.0,54.0,11.5,62.2,High,Good
92.0,80.0,92.0,5.5,97.0,Medium,Excellent
38.0,48.0,76.0,6.6,66.4,Medium,Good
38.0,79.0,99.0,7.4,77.2,Medium,Good
36.0,81.0,69.0,6.3,69.2,Medium,Good
98.0,40.0,66.0,9.1,78.0,High,Good
62.0,42.0,39.0,9.2,55.5,High,Average
79.0,85.0,74.0,4.7,84.8,Medium,Excellent
42.0,78.0,58.0,9.8,71.1,High,Good
66.0,27.0,53.0,10.6,58.0,High,Average
74.0,37.0,63.0,11.4,75.1,High,Good
30.0,51.0,32.0,8.8,45.0,High,Average
82.0,82.0,92.0,10.0,68.35,High,Good
88.0,26.0,79.0,7.5,74.4,Medium,Good
67.0,66.0,40.0,4.8,62.7,Medium,Good
81.0,82.0,91.0,3.6,83.2,Low,Excellent
98.0,59.0,28.0,7.2,72.8,Medium,Good
58.0,37.0,45.0,3.9,48.2,Low,Average
64.0,55.0,26.0,3.0,49.6,Low,Average
53.0,40.0,82.0,3.0,62.3,Low,Good
66.0,41.0,89.0,11.8,79.1,High,Good
99.0,60.0,46.0,6.7,73.4,Medium,Good
72.0,69.0,41.0,7.9,73.3,Medium,Good
97.0,98.0,71.0,7.0,68.35,Medium,Good
66.0,44.0,40.0,9.2,56.8,High,Average
36.0,76.0,35.0,2.4,52.7,Low,Average
34.0,59.0,45.0,6.9,51.4,Medium,Average
20.0,96.0,35.0,7.5,64.1,Medium,Good
40.0,38.0,60.0,3.4,48.3,Low,Average
89.0,59.0,73.0,8.1,91.2,High,Excellent
63.0,61.0,84.0,11.0,87.5,High,Excellent
74.0,52.0,79.0,5.3,75.2,Medium,Good
44.0,70.0,70.0,8.0,79.9,Medium,Good
93.0,97.0,48.0,6.2,84.9,Medium,Excellent
56.0,67.0,35.0,4.0,61.3,Low,Good
78.0,38.0,94.0,11.0,82.4,High,Excellent
82.0,79.0,36.0,4.9,73.1,Medium,Good
59.0,61.0,77.0,11.6,79.4,High,Good
29.0,28.0,75.0,10.8,53.7,High,Average
45.0,28.0,57.0,4.6,50.3,Medium,Average
78.0,84.0,31.0,11.8,81.7,High,Excellent
34.0,69.0,33.0,6.6,49.5,Medium,Average
48.0,82.0,77.0,5.7,68.6,Medium,Good
65.0,36.0,98.0,10.6,73.8,High,Good
64.0,71.0,57.0,7.3,69.7,Medium,Good
98.0,32.0,80.0,8.1,83.1,High,Excellent
21.0,55.0,72.0,4.7,50.0,Medium,Average
46.0,81.0,81.0,7.4,71.2,Medium,Good
83.0,20.0,36.0,6.5,52.5,Medium,Average
86.0,53.0,24.0,7.4,58.4,Medium,Average
98.0,49.0,46.0,1.6,80.9,Low,Excellent
84.0,59.0,86.0,10.5,94.3,High,Excellent
76.0,95.0,72.0,8.0,90.7,Medium,Excellent
51.0,31.0,64.0,6.8,60.7,Medium,Good
44.0,53.0,37.0,7.2,57.4,Medium,Average
76.0,54.0,91.0,1.6,79.1,Low,Good
87.0,99.0,39.0,4.8,80.7,Medium,Excellent
53.0,33.0,64.0,10.2,71.2,High,Good
80.0,58.0,90.0,5.7,89.3,Medium,Excellent
75.0,60.0,70.0,6.3,83.8,Medium,Excellent
88.0,70.0,87.0,4.0,92.9,Low,Excellent
86.0,39.0,89.0,4.9,76.2,Medium,Good
88.0,28.0,76.0,2.8,67.9,Low,Good
96.0,24.0,50.0,9.8,71.8,High,Good
80.0,33.0,94.0,4.0,79.0,Low,Good
97.0,37.0,47.0,8.4,70.6,High,Good
20.0,59.0,20.0,8.4,40.2,High,Average
64.0,42.0,36.0,1.2,48.7,Low,Average
87.0,46.0,65.0,5.9,73.7,Medium,Good
53.0,66.0,87.0,5.3,74.9,Medium,Good
75.0,50.0,23.0,6.9,59.3,Medium,Average
76.0,63.0,87.0,2.4,84.6,Low,Excellent
31.0,92.0,60.0,7.1,62.1,Medium,Good
28.0,65.0,93.0,5.8,65.6,Medium,Good
90.0,80.0,87.0,4.6,86.1,Medium,Excellent
98.0,75.0,47.0,2.4,79.9,Low,Good
33.0,100.0,83.0,4.8,76.4,Medium,Good
34.0,59.0,69.0,8.8,67.0,High,Good
30.0,38.0,36.0,2.7,43.4,Low,Average
74.0,32.0,66.0,9.0,74.5,High,Good
89.0,71.0,34.0,5.7,70.6,Medium,Good
57.0,88.0,65.0,9.3,80.1,High,Excellent
79.0,37.0,42.0,5.6,56.6,Medium,Average
36.0,29.0,94.0,11.6,64.6,High,Good
42.0,64.0,27.0,6.4,56.0,Medium,Average
34.0,70.0,66.0,7.5,65.6,Medium,Good
83.0,97.0,81.0,5.5,92.5,Medium,Excellent
50.0,30.0,80.0,8.0,64.5,Medium,Good
47.0,51.0,94.0,2.5,62.3,Low,Good
42.0,97.0,85.0,7.1,73.6,Medium,Good
62.0,73.0,24.0,4.8,62.6,Medium,Good
92.0,44.0,34.0,10.5,68.4,High,Good
60.0,31.0,58.0,3.1,54.9,Low,Average
96.0,78.0,38.0,4.5,75.2,Medium,Good
90.0,54.0,23.0,5.7,65.6,Medium,Good
81.0,73.0,39.0,1.6,65.8,Low,Good
71.0,61.0,75.0,1.7,75.4,Low,Good
24.0,38.0,24.0,9.2,33.8,High,Poor
55.0,43.0,70.0,2.7,70.5,Low,Good
22.0,100.0,100.0,11.4,92.8,High,Excellent
81.0,33.0,51.0,3.2,53.4,Low,Average
44.0,100.0,25.0,3.4,51.6,Low,Average
66.0,81.0,49.0,2.8,73.2,Low,Good
82.0,90.0,41.0,8.9,79.3,High,Good
50.0,82.0,25.0,2.8,57.2,Low,Average
48.0,22.0,40.0,7.1,52.0,Medium,Average
85.0,43.0,98.0,9.0,84.8,High,Excellent
60.0,55.0,93.0,8.0,79.7,Medium,Good
42.0,77.0,64.0,5.1,61.9,Medium,Good
76.0,35.0,54.0,11.4,62.2,High,Good
68.0,85.0,55.0,8.4,75.5,High,Good
57.0,32.0,42.0,4.2,49.9,Medium,Average
97.0,25.0,84.0,3.1,75.2,Low,Good
51.0,70.0,49.0,10.2,71.6,High,Good
24.0,44.0,66.0,5.5,58.6,Medium,Average
70.0,79.0,49.0,6.9,77.8,Medium,Good
53.0,89.0,62.0,7.4,76.0,Medium,Good
23.0,95.0,64.0,8.8,65.7,High,Good
50.0,54.0,48.0,9.7,60.6,High,Good
33.0,81.0,66.0,3.7,61.5,Low,Good
85.0,31.0,71.0,6.1,73.4,Medium,Good
75.0,35.0,23.0,2.4,53.2,Low,Average
52.0,53.0,31.0,5.7,48.8,Medium,Average
35.0,75.0,25.0,11.5,59.0,High,Average
29.0,74.0,97.0,11.1,83.8,High,Excellent
85.0,97.0,55.0,4.6,83.8,Medium,Excellent
79.0,85.0,49.0,11.7,78.5,High,Good
77.0,96.0,44.0,11.7,87.2,High,Excellent
35.0,84.0,65.0,4.1,73.2,Medium,Good
95.0,73.0,65.0,3.0,75.2,Low,Good
25.0,99.0,33.0,9.6,64.0,High,Good
63.0,82.0,64.0,9.8,80.0,High,Good
47.0,21.0,46.0,9.9,49.0,High,Average
40.0,61.0,52.0,9.0,64.3,High,Good
59.0,97.0,20.0,12.0,68.8,High,Good
97.0,74.0,68.0,8.2,86.0,High,Excellent
52.0,88.0,79.0,6.3,91.1,Medium,Excellent
53.0,80.0,54.0,3.6,56.6,Low,Average
77.0,48.0,60.0,8.8,74.5,High,Good
62.0,30.0,45.0,11.4,59.8,High,Average
45.0,39.0,79.0,6.7,62.1,Medium,Good
64.0,95.0,41.0,11.5,79.3,High,Good
97.0,39.0,61.0,7.2,72.0,Medium,Good
98.0,52.0,58.0,1.7,72.6,Low,Good
26.0,47.0,25.0,10.7,35.4,High,Poor
66.0,70.0,92.0,5.6,77.3,Medium,Good
26.0,88.0,70.0,8.8,69.6,High,Good
88.0,79.0,63.0,6.9,85.3,Medium,Excellent
70.0,80.0,56.0,10.3,76.5,High,Good
99.0,67.0,85.0,10.2,92.1,High,Excellent
45.0,79.0,48.0,3.7,65.9,Low,Good
42.0,64.0,40.0,10.2,62.9,High,Good
57.0,59.0,47.0,5.0,52.1,Medium,Average
82.0,53.0,58.0,4.0,69.3,Low,Good
42.0,99.0,87.0,2.6,84.0,Low,Excellent
85.0,42.0,27.0,1.7,57.2,Low,Average
59.0,88.0,93.0,5.3,83.8,Medium,Excellent
74.0,53.0,75.0,2.5,73.9,Low,Good
25.0,82.0,65.0,4.0,61.4,Low,Good
52.0,65.0,30.0,10.2,64.2,High,Good
63.0,95.0,75.0,7.7,90.2,Medium,Excellent
