math_score,science_score,english_score,study_hours,final_score
31.0,34.0,28.0,8.6,44.1
28.0,21.0,77.0,5.3,44.1
41.0,78.0,45.0,1.8,56.6
65.0,74.0,47.0,2.5,69.0
42.0,26.0,49.0,4.7,49.9
32.0,40.0,,4.5,53.8
53.0,75.0,55.0,10.0,68.2
54.0,26.0,52.0,8.4,56.7
71.0,48.0,22.0,10.5,64.1
77.0,58.0,56.0,9.6,84.3
23.0,37.0,28.0,6.7,39.9
84.0,95.0,98.0,6.0,102.7
69.0,90.0,22.0,8.0,65.2
60.0,23.0,66.0,3.3,49.1
75.0,33.0,24.0,9.6,54.1
80.0,63.0,28.0,4.1,71.0
26.0,59.0,22.0,3.8,40.3
34.0,41.0,32.0,1.3,39.5
86.0,45.0,61.0,8.8,72.8
29.0,33.0,,5.8,36.7
70.0,54.0,46.0,6.6,73.2
23.0,42.0,98.0,2.1,59.5
20.0,29.0,75.0,10.2,52.3
60.0,64.0,31.0,4.7,51.6
85.0,78.0,64.0,10.6,89.7
20.0,39.0,89.0,10.3,65.2
39.0,71.0,89.0,10.2,79.0
24.0,73.0,27.0,8.8,54.8
61.0,64.0,38.0,3.5,56.2
56.0,51.0,44.0,9.4,64.7
44.0,58.0,84.0,7.6,78.2
52.0,36.0,99.0,10.6,72.1
29.0,85.0,38.0,7.8,59.9
46.0,63.0,26.0,2.7,51.3
99.0,51.0,32.0,6.0,67.3
92.0,93.0,35.0,8.8,86.0
33.0,97.0,23.0,10.4,69.8
73.0,75.0,30.0,2.7,56.6
88.0,91.0,70.0,7.9,96.6
40.0,71.0,79.0,7.7,80.3
63.0,24.0,75.0,10.9,60.4
60.0,88.0,72.0,8.1,83.4
71.0,30.0,53.0,7.7,61.0
83.0,81.0,51.0,1.3,81.8
40.0,26.0,69.0,11.1,63.3
73.0,64.0,74.0,8.9,78.2
72.0,59.0,29.0,2.3,62.8
46.0,21.0,31.0,2.7,37.5
35.0,85.0,26.0,8.0,57.5
24.0,98.0,52.0,11.9,62.4
28.0,54.0,39.0,1.1,42.1
28.0,40.0,84.0,3.7,58.7
78.0,42.0,28.0,3.1,42.5
67.0,22.0,48.0,4.5,50.9
100.0,87.0,91.0,2.1,98.7
76.0,60.0,48.0,2.8,62.2
43.0,26.0,100.0,9.5,71.8
33.0,67.0,46.0,9.0,62.1
98.0,81.0,67.0,12.0,99.1
37.0,42.0,68.0,3.0,52.8
53.0,55.0,26.0,10.8,55.3
90.0,89.0,85.0,11.5,104.2
44.0,36.0,25.0,11.5,46.0
66.0,55.0,71.0,3.0,69.0
34.0,40.0,90.0,4.6,51.6
59.0,47.0,84.0,11.6,82.6
77.0,54.0,79.0,8.2,83.8
48.0,92.0,31.0,11.1,73.2
88.0,20.0,25.0,11.9,59.4
88.0,34.0,45.0,10.4,66.9
34.0,55.0,42.0,11.7,60.3
98.0,67.0,55.0,4.2,77.6
28.0,85.0,78.0,,63.8
89.0,37.0,29.0,2.3,50.0
90.0,72.0,61.0,4.6,82.0
38.0,46.0,94.0,2.5,63.1
43.0,93.0,42.0,1.4,67.4
50.0,67.0,37.0,4.7,54.3
38.0,22.0,43.0,1.4,39.5
45.0,38.0,84.0,8.9,59.2
57.0,79.0,52.0,11.1,65.7
92.0,87.0,37.0,5.5,80.1
43.0,62.0,91.0,6.2,73.4
78.0,29.0,27.0,5.2,52.1
25.0,21.0,71.0,5.7,45.3
50.0,40.0,71.0,11.1,74.6
54.0,85.0,37.0,4.6,62.9
60.0,53.0,95.0,5.7,71.2
34.0,74.0,53.0,10.6,67.8
85.0,76.0,86.0,10.7,97.4
30.0,26.0,36.0,11.7,46.2
23.0,24.0,22.0,7.2,25.2
47.0,60.0,81.0,5.8,72.1
26.0,57.0,83.0,3.0,63.5
75.0,65.0,66.0,11.0,80.1
92.0,53.0,74.0,10.4,83.3
84.0,68.0,80.0,4.5,82.3
36.0,34.0,38.0,3.1,34.1
53.0,28.0,86.0,8.6,60.6
90.0,87.0,44.0,6.2,86.3
24.0,40.0,33.0,4.4,31.5
70.0,27.0,62.0,8.3,56.4
36.0,45.0,68.0,2.1,50.3
80.0,52.0,72.0,5.4,82.3
100.0,32.0,67.0,7.6,73.4
41.0,89.0,54.0,11.2,70.2
98.0,53.0,55.0,2.8,69.6
44.0,85.0,,,66.1
25.0,37.0,58.0,3.8,42.4
38.0,98.0,71.0,6.8,77.0
76.0,33.0,85.0,1.0,70.1
25.0,91.0,87.0,4.0,78.8
23.0,89.0,65.0,5.7,62.1
66.0,50.0,37.0,11.0,75.7
92.0,41.0,99.0,10.4,93.2
43.0,70.0,42.0,8.5,64.7
52.0,70.0,33.0,8.9,60.7
72.0,59.0,57.0,5.8,77.6
63.0,50.0,65.0,1.0,56.9
27.0,62.0,92.0,9.0,70.7
74.0,55.0,52.0,5.0,77.0
60.0,70.0,55.0,9.1,73.9
100.0,69.0,84.0,8.3,93.8
35.0,20.0,84.0,4.7,46.2
90.0,84.0,33.0,8.5,77.2
61.0,62.0,95.0,8.0,81.8
98.0,76.0,76.0,6.6,94.3
68.0,81.0,81.0,10.7,93.4
20.0,67.0,97.0,2.5,60.1
60.0,60.0,76.0,4.6,79.0
150.0,78.0,46.0,5.9,53.6
82.0,59.0,34.0,8.3,67.7
85.0,33.0,79.0,2.7,76.4
77.0,64.0,52.0,9.7,77.2
64.0,57.0,77.0,8.5,70.3
61.0,36.0,73.0,2.8,55.6
39.0,97.0,83.0,7.6,80.9
50.0,58.0,67.0,2.1,62.3
22.0,57.0,60.0,7.0,53.1
47.0,66.0,76.0,8.8,77.1
20.0,22.0,79.0,11.7,50.6
95.0,86.0,43.0,10.0,90.2
40.0,41.0,99.0,10.5,75.9
48.0,40.0,67.0,5.3,59.5
24.0,47.0,45.0,7.4,45.7
37.0,21.0,39.0,8.0,47.1
,47.0,69.0,5.2,55.8
29.0,65.0,38.0,11.7,58.8
40.0,52.0,53.0,10.0,57.8
100.0,41.0,55.0,3.7,69.3
40.0,55.0,88.0,11.1,74.3
23.0,66.0,54.0,11.5,62.2
92.0,80.0,92.0,5.5,97.0
38.0,48.0,76.0,6.6,66.4
38.0,79.0,99.0,7.4,77.2
36.0,81.0,69.0,6.3,69.2
98.0,40.0,66.0,9.1,78.0
62.0,42.0,39.0,9.2,55.5
79.0,85.0,74.0,4.7,84.8
42.0,78.0,58.0,9.8,71.1
66.0,27.0,53.0,10.6,58.0
74.0,37.0,63.0,11.4,75.1
30.0,51.0,32.0,8.8,45.0
82.0,82.0,92.0,10.0,102.3
88.0,26.0,79.0,7.5,74.4
67.0,66.0,40.0,4.8,62.7
81.0,82.0,91.0,3.6,83.2
98.0,59.0,28.0,7.2,72.8
58.0,37.0,45.0,3.9,48.2
64.0,55.0,26.0,3.0,49.6
53.0,40.0,82.0,3.0,62.3
24.0,73.0,27.0,8.8,54.8
66.0,41.0,89.0,11.8,79.1
99.0,60.0,46.0,6.7,73.4
72.0,69.0,41.0,7.9,73.3
97.0,98.0,71.0,7.0,101.2
66.0,44.0,40.0,9.2,56.8
82.0,82.0,92.0,10.0,102.3
36.0,76.0,35.0,2.4,52.7
34.0,59.0,45.0,6.9,51.4
20.0,96.0,35.0,7.5,64.1
40.0,38.0,60.0,3.4,48.3
89.0,,73.0,8.1,91.2
63.0,61.0,84.0,11.0,87.5
74.0,52.0,79.0,5.3,75.2
44.0,70.0,70.0,8.0,79.9
93.0,97.0,48.0,6.2,84.9
56.0,67.0,35.0,4.0,61.3
78.0,38.0,94.0,11.0,82.4
82.0,79.0,36.0,4.9,73.1
59.0,61.0,77.0,11.6,79.4
29.0,28.0,75.0,10.8,53.7
45.0,28.0,57.0,4.6,50.3
24.0,40.0,33.0,4.4,31.5
78.0,84.0,31.0,11.8,81.7
34.0,69.0,33.0,6.6,49.5
48.0,82.0,77.0,5.7,68.6
65.0,36.0,98.0,10.6,73.8
64.0,71.0,57.0,7.3,69.7
98.0,32.0,80.0,8.1,83.1
21.0,55.0,72.0,4.7,50.0
46.0,81.0,81.0,7.4,71.2
83.0,20.0,36.0,6.5,52.5
86.0,53.0,24.0,7.4,58.4
98.0,49.0,46.0,1.6,80.9
84.0,59.0,86.0,10.5,94.3
76.0,95.0,72.0,8.0,90.7
51.0,31.0,64.0,6.8,60.7
44.0,53.0,37.0,7.2,57.4
76.0,54.0,91.0,1.6,79.1
87.0,99.0,39.0,4.8,80.7
53.0,33.0,64.0,10.2,71.2
80.0,58.0,90.0,5.7,89.3
75.0,60.0,70.0,6.3,83.8
88.0,70.0,87.0,4.0,92.9
86.0,39.0,89.0,4.9,76.2
88.0,28.0,76.0,2.8,67.9
96.0,24.0,50.0,9.8,71.8
80.0,33.0,94.0,4.0,79.0
97.0,37.0,47.0,8.4,70.6
20.0,59.0,20.0,8.4,40.2
64.0,42.0,36.0,1.2,48.7
87.0,46.0,65.0,5.9,73.7
53.0,66.0,87.0,5.3,74.9
75.0,50.0,23.0,6.9,59.3
76.0,63.0,87.0,2.4,84.6
31.0,92.0,60.0,7.1,62.1
28.0,65.0,93.0,5.8,65.6
90.0,80.0,87.0,4.6,86.1
98.0,75.0,47.0,2.4,79.9
33.0,100.0,83.0,4.8,76.4
34.0,,69.0,8.8,67.0
30.0,38.0,36.0,2.7,43.4
74.0,32.0,66.0,9.0,74.5
89.0,71.0,34.0,5.7,70.6
57.0,88.0,65.0,9.3,80.1
79.0,37.0,42.0,5.6,56.6
36.0,29.0,94.0,11.6,64.6
42.0,64.0,27.0,6.4,56.0
34.0,70.0,66.0,7.5,65.6
83.0,97.0,81.0,5.5,92.5
50.0,30.0,80.0,8.0,64.5
30.0,39.0,41.0,5.0,41.9
47.0,51.0,94.0,2.5,62.3
42.0,97.0,85.0,7.1,73.6
62.0,73.0,24.0,4.8,62.6
92.0,44.0,34.0,10.5,68.4
60.0,31.0,58.0,3.1,54.9
96.0,78.0,38.0,4.5,75.2
90.0,54.0,23.0,5.7,65.6
81.0,73.0,39.0,1.6,65.8
71.0,61.0,75.0,1.7,75.4
24.0,38.0,24.0,9.2,33.8
44.0,53.0,37.0,7.2,57.4
55.0,43.0,70.0,2.7,70.5
22.0,100.0,100.0,11.4,92.8
81.0,33.0,51.0,3.2,53.4
44.0,100.0,25.0,3.4,51.6
66.0,81.0,49.0,2.8,73.2
82.0,90.0,41.0,8.9,79.3
50.0,82.0,25.0,2.8,57.2
48.0,22.0,40.0,7.1,52.0
85.0,43.0,98.0,9.0,84.8
60.0,55.0,93.0,8.0,79.7
42.0,77.0,64.0,5.1,61.9
76.0,35.0,54.0,11.4,62.2
68.0,85.0,55.0,8.4,75.5
57.0,32.0,42.0,4.2,49.9
97.0,25.0,84.0,3.1,75.2
51.0,70.0,49.0,10.2,71.6
24.0,44.0,66.0,5.5,58.6
70.0,79.0,49.0,6.9,77.8
53.0,89.0,62.0,7.4,76.0
23.0,95.0,64.0,8.8,65.7
50.0,54.0,48.0,9.7,60.6
33.0,81.0,66.0,3.7,61.5
85.0,31.0,71.0,6.1,73.4
75.0,35.0,23.0,2.4,53.2
52.0,53.0,31.0,5.7,48.8
87.0,59.0,,7.5,67.9
35.0,75.0,25.0,11.5,59.0
29.0,74.0,97.0,11.1,83.8
85.0,97.0,55.0,4.6,83.8
79.0,85.0,49.0,11.7,78.5
77.0,96.0,44.0,11.7,87.2
35.0,84.0,65.0,4.1,73.2
95.0,73.0,65.0,3.0,75.2
25.0,99.0,33.0,9.6,64.0
63.0,82.0,64.0,9.8,80.0
47.0,21.0,46.0,9.9,49.0
40.0,61.0,52.0,9.0,64.3
59.0,97.0,20.0,12.0,68.8
97.0,74.0,68.0,8.2,86.0
65.0,30.0,47.0,10.1,53.1
52.0,88.0,79.0,6.3,91.1
53.0,80.0,54.0,3.6,56.6
77.0,48.0,60.0,8.8,74.5
62.0,30.0,45.0,11.4,59.8
45.0,39.0,79.0,6.7,62.1
64.0,95.0,41.0,11.5,79.3
97.0,39.0,,7.2,72.0
98.0,52.0,58.0,1.7,72.6
26.0,47.0,25.0,10.7,35.4
66.0,70.0,92.0,5.6,77.3
26.0,88.0,70.0,8.8,69.6
88.0,79.0,63.0,6.9,85.3
70.0,80.0,56.0,10.3,76.5
99.0,67.0,85.0,10.2,92.1
45.0,79.0,48.0,3.7,65.9
42.0,64.0,40.0,10.2,62.9
57.0,,47.0,5.0,52.1
82.0,53.0,58.0,4.0,69.3
42.0,99.0,87.0,2.6,84.0
85.0,42.0,27.0,1.7,57.2
59.0,88.0,93.0,5.3,83.8
74.0,53.0,75.0,2.5,73.9
25.0,82.0,65.0,4.0,61.4
52.0,65.0,30.0,10.2,64.2
63.0,95.0,75.0,7.7,90.2
